Date,High,Low,Open,Close,Volume
2016-05-10,740,731.61,734.96,739.38,1629685
2016-05-09,734.29,723.5,726.7,729.13,1900579
2016-05-06,725.99,711.95,712.2,725.18,1994510
2016-05-05,717.55,709.4501,715,714.71,1482730
2016-05-04,715.05,704.05,706.77,711.37,1708120
2016-05-03,713.37,707.33,712.5,708.44,1930313
2016-05-02,715.41,706.36,711.92,714.41,1673095
2016-04-29,712.11,703.78,704.12,707.88,2913286
2016-04-28,729.26,703.2,723.29,705.06,3124368
2016-04-27,727.15,709.08,725.32,721.46,3305829
2016-04-26,745.59,720.32,744.42,725.37,2776678
2016-04-25,744.88,735.1,735.35,742.21,2470543
2016-04-22,753.92,730.37,743.91,737.77,7038718
2016-04-21,781.6799,771.55,777.31,780,3786960
2016-04-20,779.66,771.27,779.16,774.92,1710652
2016-04-19,790.95,770.27,790.5,776.25,2195959
2016-04-18,788.55,777.61,780.19,787.68,1673385
2016-04-15,780.93,774.9301,775.5,780,1559707
2016-04-14,779.61,773.22,775.36,775.39,1348242
2016-04-13,775.75,764.5908,770.31,771.91,1769568
2016-04-12,764.92,751.565,758.43,764.32,1366589
2016-04-11,767.22,757.34,765.45,757.54,1586524
2016-04-08,767.13,755.77,765.87,759.47,1171831
2016-04-07,769.36,757.5,765.32,760.12,1274258
2016-04-06,768.42,756.3,757.84,768.07,1262942
2016-04-05,762.87,755.6,758.13,758.57,1222899
2016-04-04,772.44,761.785,769.51,765.12,1346216
2016-04-01,770.04,755.2,757.16,769.67,1582377
2016-03-31,769.0842,758.25,768.34,762.9,1627359
2016-03-30,777.31,767.58,768.21,768.34,2018489
2016-03-29,767.18,748.29,753.68,765.89,1988867
2016-03-28,758.3,752.04,756.17,753.28,1083237
2016-03-24,757.555,750.5,751.2,754.84,1532760
2016-03-23,765.39,756.03,763.35,757.56,1233396
2016-03-22,765,757.875,758.44,760.05,1104542
2016-03-21,763.34,751.27,753.91,762.16,1438431
2016-03-18,762.14,751.82,761.63,755.41,2814010
2016-03-17,765.34,757.36,757.65,758.48,2227732
2016-03-16,759,746.5,749.05,757.36,1462328
2016-03-15,753.01,742.84,746.02,750.57,1479737
2016-03-14,754.26,743.6625,744.97,750.24,1640531
2016-03-11,744.9,736.7,739.95,744.87,1767725
2016-03-10,736.54,723.29,727.79,732.17,2229615
2016-03-09,726.24,712.66,715.165,725.41,1977088
2016-03-08,722.25,704,708.39,713.53,2625740
2016-03-07,727.21,705.14,725.15,712.8,3085143
2016-03-04,735,725.62,734.8,730.22,2424117
2016-03-03,741,729.63,739.48,731.59,2025542
2016-03-02,743.121,733.25,742.87,739.48,1814990
2016-03-01,742.33,718.64,721.3,742.17,3003534
2016-02-29,730.6,716.84,721,717.22,2248577
2016-02-26,736.16,721.9392,733.6,724.86,2122722
2016-02-25,729.51,713.23,722.93,729.12,1806153
2016-02-24,721.22,702.02,710.61,720.9,1846479
2016-02-23,730.9,715.67,726.1,717.29,2062573
2016-02-22,734.845,723.45,729.51,729.05,1875263
2016-02-19,724.03,713.12,715.9,722.11,1745074
2016-02-18,736,715.55,733.96,717.51,2362978
2016-02-17,733.76,716.61,727,731.97,2456691
2016-02-16,722.8789,710.18,718.65,717.64,2170580
2016-02-12,716,701.58,712.21,706.89,2326729
2016-02-11,712.315,691.19,696.34,706.36,3245164
2016-02-10,723.22,705.39,711.79,706.85,3012501
2016-02-09,720.96,688.5,692.95,701.02,4200412
2016-02-08,704.52,682.01,687.68,704.16,4446576
2016-02-05,726.72,700.14,725.5,703.76,5470489
2016-02-04,745.24,722.6001,744.59,730.03,5234019
2016-02-03,791.43,736.26,786.28,749.38,6551756
2016-02-02,810.35,780.6,800.5,780.91,6784651
2016-02-01,777.59,761.38,771.26,770.77,5450452
2016-01-29,765.105,744.2,748.96,761.35,3783526
2016-01-28,751.16,730.6,738.19,748.3,3099545
2016-01-27,735.89,713.45,735.89,717.58,2105853
2016-01-26,739.46,726.97,735.21,733.79,1545696
2016-01-25,752.46,732.501,743.84,733.62,2264914
2016-01-22,748.56,740.5,742,745.46,2357079
2016-01-21,737.67,711.11,720.17,726.67,2595123
2016-01-20,726.95,687.78,705.9,718.56,4118503
2016-01-19,725.35,709.85,720.15,719.08,2434005
2016-01-15,724.158,701.51,709.99,710.49,3789249
2016-01-14,739.89,705,724.44,731.39,2768633
2016-01-13,753,716.78,749.34,719.57,2578588
2016-01-12,748.34,736.43,740.75,745.34,2337503
2016-01-11,735.08,719.56,731.95,733.07,2537985
2016-01-08,750.12,728.9201,747.8,730.91,2374762
2016-01-07,755.31,735.28,746.49,741,3152358
2016-01-06,765.73,748,750.37,759.33,2408797
2016-01-05,769.2,755.65,764.1,761.53,2257466
2016-01-04,762.2,747.54,762.2,759.44,3363528
2015-12-31,788.33,777.32,787.82,778.01,1637241
2015-12-30,796.455,787.2,793.96,790.3,1427271
2015-12-29,798.69,786.202,786.99,793.96,1919541
2015-12-28,782.815,767.73,770,782.24,1555564
2015-12-24,769.2,764.39,768.52,765.84,521141
2015-12-23,771.9,757.65,770.69,768.51,1529510
